leaid,district_name,current_boundary_since,n_baseline_years,n_efa_years,total_years,data_status,baseline_years_thin,baseline_cagr,covid_drop_pct,recovered_from_covid,efa_cagr,typology,reversal_magnitude
0500001,DEWITT SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.010559683440164225,-0.11424100156494522,False,-0.00816733382115642,sustained_decline,
0500006,WARREN SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.004406923124326667,-0.11661631419939578,False,-0.008975448749630965,emerging_decline,
0500009,CORNING SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.02083544880679289,-0.15583075335397317,False,-0.019260263839119385,sustained_decline,
0500012,RIVERSIDE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.009925804351226808,-0.13202933985330073,False,0.004583015447519712,decline_stabilized,
0500015,SHERIDAN SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.0023494654459849107,-0.02541567695961995,True,-0.020188144006793696,emerging_decline,
0500016,MARMADUKE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.006705309366952128,-0.12903225806451613,False,-0.02152366203196543,accelerating_decline,
0500017,PARAGOULD SCHOOL DISTRICT,2013,7,4,13,ok,False,0.010890214754419869,-0.03941194870190804,False,-0.010177988122699655,reversal_downward,moderate
0500019,BATESVILLE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.007753081630893277,-0.03134895503483217,True,-0.021647661481056568,reversal_downward,large
0500020,MIDLAND SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.0026685011259662827,-0.19963031423290203,False,-0.048599897679331594,emerging_decline,
0500021,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,2013,7,4,13,ok,False,0.01639796402861382,0.056925996204933584,True,0.01988697426259045,growth_throughout,
0500023,NEWPORT SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.02049195996604125,-0.1690031152647975,False,-0.023971885975979323,sustained_decline,
0500026,PINE BLUFF SCHOOL DISTRICT,2021,7,4,13,ok,False,-0.06335682341963689,-0.35298196948682387,False,-0.04513335260516549,sustained_decline,
0500028,STAR CITY SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.014998503036998456,-0.14510050251256282,False,-0.03096593664768499,accelerating_decline,
0500029,GOSNELL SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.01532928586097404,-0.12678169542385595,False,0.003962679385713486,decline_stabilized,
0500030,NEVADA SCHOOL DISTRICT,2014,6,4,12,ok,False,-0.008412873084361894,-0.10526315789473684,True,0.015069670873159469,reversal_upward,moderate
0500032,BEARDEN SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.022966413099137384,-0.13012477718360071,False,-0.030321888828579557,sustained_decline,
0500041,WESTERN YELL COUNTY SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.039127284118367744,-0.2337962962962963,False,-0.055138579351217465,accelerating_decline,
0500042,HAMBURG SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.02054817337307513,-0.19896640826873385,False,0.001287831429441777,decline_stabilized,
